tech_clean,tech_clean_sep,AI_ambiguous,Manual_human,tech_stem
magnetic lymphatic earrings,magnetic lymphatic earrings,0,0,magnet lymphat ear
mail server,mail server,0,0,mail server
mailin ballots,mail in ballots,0,0,mail in ballot
mailin voting,mail in voting,0,0,mail in vote
male birth control,male birth control,0,0,male birth control
malicious code,malicious code,0,0,malici code
malware,malware,0,0,malwar
mammograms,mammograms,0,0,mammogram
mapping service,mapping service,0,0,map servic
marijuana,marijuana,0,0,marijuana
mars rover,mars rover,0,0,mar rover
martian rovers,martian rovers,0,0,martian rover
masks,masks,1,1,mask
massive ordnance air blast bomb,massive ordnance air blast bomb,0,0,massiv ordnanc air blast bomb
mdma,mdma,0,0,mdma
measles vaccine,measles vaccine,0,0,measl vaccin
mechanic lipids,mechanic lipids,0,0,mechan lipid
mechanically separated chicken,mechanically separated chicken,0,0,mechan separ chicken
medical device,medical device,0,0,medic devic
medical devices,medical devices,0,0,medic devic
medical discoveries,medical discoveries,0,0,medic discoveri
medical equipment,medical equipment,0,0,medic equip
medical marijuana,medical marijuana,0,0,medic marijuana
medical mask,medical mask,0,0,medic mask
medical monitoring,medical monitoring,0,0,medic monitor
meetup app,meetup app,0,0,meetup app
meme generator,meme generator,0,0,meme gener
messaging app,messaging app,0,0,messag app
messaging applications,messaging applications,0,0,messag applic
messaging apps,messaging apps,0,0,messag app
messenger,messenger,1,1,messeng
metal detector,metal detector,0,0,metal detector
metal detectors,metal detectors,0,0,metal detector
metal plate,metal plate,0,0,metal plate
methane emissions,methane emissions,0,0,methan emiss
microchip,microchip,0,0,microchip
microchip implant,microchip implant,0,0,microchip implant
microchipping,microchipping,0,0,microchip
microchips,microchips,1,0,microchip
microchips in the brain,microchips in the brain,0,0,microchip in the brain
micromotor,micromotor,0,0,micromotor
microphone,microphone,0,0,microphon
microscope,microscope,0,0,microscop
microscopy,microscopy,0,0,microscopi
microsoft outlook 2010,microsoft outlook 2010,0,0,microsoft outlook 2010
microsoft word,microsoft word,0,0,microsoft word
microwave,microwave,1,1,microwav
microwave emissions,microwave emissions,0,0,microwav emiss
microwave oven,microwave oven,0,0,microwav oven
microwave ovens,microwave ovens,0,0,microwav oven
microwaves,microwaves,1,1,microwav
mifepristone,mifepristone,0,0,mifepriston
mig29,mig 29,0,0,mig 29
military aircraft,military aircraft,0,0,militari aircraft
military applications,military applications,0,0,militari applic
military equipment,military equipment,0,0,militari equip
military jets,military jets,0,0,militari jet
military robots,military robots,0,0,militari robot
military simulation video game,military simulation video game,0,0,militari simul video game
military transport plane,military transport plane,0,0,militari transport plane
military vehicles,military vehicles,0,0,militari vehicl
militarygrade armored personnel truck,military grade armored personnel truck,0,0,militari grade armor personnel truck
militarygrade weapons,military grade weapons,0,0,militari grade weapon
milking machine,milking machine,0,0,milk machin
mimail worm,mimail worm,0,0,mimail worm
mimaili worm,mimaili worm,0,0,mimaili worm
minecraft,minecraft,0,0,minecraft
mineresistant vehicles,mine resistant vehicles,0,0,mine resist vehicl
mini cheetah robot,mini cheetah robot,0,0,mini cheetah robot
mining,mining,1,1,mine
mining haul truck,mining haul truck,0,0,mine haul truck
mirena iud,mirena iud,0,0,mirena iud
mirror system in space,mirror system in space,0,0,mirror system in space
missile,missile,1,0,missil
missile defense program,missile defense program,0,0,missil defens program
missile defense shield,missile defense shield,0,0,missil defens shield
missile defense system,missile defense system,0,0,missil defens system
missile launchers,missile launchers,0,0,missil launcher
missile shield,missile shield,0,0,missil shield
missile strike,missile strike,0,0,missil strike
missile tests,missile tests,0,0,missil test
missiledefense facilities,missile defense facilities,0,0,missil defens facil
missiles,missiles,0,0,missil
mmr vaccination,mmr vaccination,0,0,mmr vaccin
mmr vaccine,mmr vaccine,0,0,mmr vaccin
mmr vaccines,mmr vaccines,0,0,mmr vaccin
moab,moab,1,0,moab
mobile app,mobile app,0,0,mobil app
mobile apps,mobile apps,0,0,mobil app
mobile devices,mobile devices,0,0,mobil devic
mobile phone,mobile phone,0,0,mobil phone
mobile phones,mobile phones,0,0,mobil phone
model lawnmower,model lawnmower,0,0,model lawnmow
model t,model t,0,0,model t
moderna vaccine,moderna vaccine,0,0,moderna vaccin
mojo vision lenses,mojo vision lenses,0,0,mojo vision lens
molotov cocktails,molotov cocktails,0,0,molotov cocktail
monoclonal antibody treatments,monoclonal antibody treatments,0,0,monoclon antibodi treatment
monoclonal treatments,monoclonal treatments,0,0,monoclon treatment
monorail,monorail,0,0,monorail
monovalent and bivalent covid vaccines,monovalent and bivalent covid vaccines,0,0,monoval and bival covid vaccin
moon exploration,moon exploration,0,0,moon explor
moon probe,moon probe,0,0,moon probe
moon rocket,moon rocket,0,0,moon rocket
moonlanding code,moonlanding code,0,0,moonland code
mosquito trap,mosquito trap,0,0,mosquito trap
mother of all bombs,mother of all bombs,0,0,mother of all bomb
motion pictures,motion pictures,0,0,motion pictur
motion sensors,motion sensors,0,0,motion sensor
motorcycle,motorcycle,0,0,motorcycl
motorcycles,motorcycles,0,0,motorcycl
motorhome,motorhome,0,0,motorhom
mouse,mouse,1,1,mous
mousetrap,mousetrap,0,0,mousetrap
mri,mri,0,0,mri
mri machine,mri machine,0,0,mri machin
mris,mris,1,0,mri
mrna,mrna,0,0,mrna
mrna cancer therapy,mrna cancer therapy,0,0,mrna cancer therapi
mrna coronavirus vaccine,mrna coronavirus vaccine,0,0,mrna coronaviru vaccin
mrna covid vaccines,mrna covid vaccines,0,0,mrna covid vaccin
mrna covid19 vaccine,mrna covid 19 vaccine,0,0,mrna covid 19 vaccin
mrna covid19 vaccines,mrna covid 19 vaccines,0,0,mrna covid 19 vaccin
mrna technology,mrna technology,0,0,mrna technolog
mrna vaccine,mrna vaccine,0,0,mrna vaccin
mrna vaccines,mrna vaccines,0,0,mrna vaccin
multigrooved records,multigrooved records,0,0,multigroov record
musical tool,musical tool,1,0,music tool
musicplaying machine,musicplaying machine,1,0,musicplay machin
musket,musket,0,0,musket
mylife worm,mylife worm,1,0,mylif worm
n95,n95,1,0,n95
n95 masks,n95 masks,0,0,n95 mask
nail gun,nail gun,0,0,nail gun
naled,naled,1,0,nale
namedrop,namedrop,0,0,namedrop
nanobodies,nanobodies,0,0,nanobodi
nanobot,nanobot,0,0,nanobot
nanobots,nanobots,0,0,nanobot
nanocensor,nanocensor,1,0,nanocensor
nanochips,nanochips,0,0,nanochip
nanoparticles,nanoparticles,0,0,nanoparticl
nanoscale engineering,nanoscale engineering,0,0,nanoscal engin
nanotech particles,nanotech particles,0,0,nanotech particl
nanotechnology,nanotechnology,0,0,nanotechnolog
nasa rover,nasa rover,0,0,nasa rover
nasal cannula,nasal cannula,0,0,nasal cannula
national animal identification system,national animal identification system,0,0,nation anim identif system
national id,national id,1,0,nation id
natural gas,natural gas,0,0,natur ga
natural gas pipeline,natural gas pipeline,0,0,natur ga pipelin
natural gas pipelines,natural gas pipelines,0,0,natur ga pipelin
needle exchange vending machine,needle exchange vending machine,0,0,needl exchang vend machin
neonicotinoid pesticides,neonicotinoid pesticides,0,0,neonicotinoid pesticid
nerf guns,nerf guns,0,0,nerf gun
net metering,net metering,0,0,net meter
netsky worm,netsky worm,0,0,netski worm
networked video games,networked video games,0,0,network video game
neurostrike weapons,neurostrike weapons,0,0,neurostrik weapon
new profile pic app,new profile pic app,0,0,new profil pic app
next generation delivery vehicles,next generation delivery vehicles,0,0,next gener deliveri vehicl
nfc chip,nfc chip,0,0,nfc chip
nfts,nfts,1,0,nft
night vision glasses,night vision glasses,0,0,night vision glass
nightshot video cameras,nightshot video cameras,0,0,nightshot video camera
nightvision,night vision,0,0,night vision
nintendo 64,nintendo 64,0,0,nintendo 64
nintendo wii,nintendo wii,0,0,nintendo wii
nlaw,nlaw,1,0,nlaw
nova h1 audio earrings,nova h1 audio earrings,0,0,nova h1 audio ear
novarg worm,novarg worm,0,0,novarg worm
nuclear,nuclear,1,0,nuclear
nuclear arms,nuclear arms,0,0,nuclear arm
nuclear arsenal,nuclear arsenal,0,0,nuclear arsen
nuclear bomb,nuclear bomb,0,0,nuclear bomb
nuclear bombers,nuclear bombers,0,0,nuclear bomber
nuclear bombs,nuclear bombs,0,0,nuclear bomb
nuclear capability,nuclear capability,0,0,nuclear capabl
nuclear codes,nuclear codes,0,0,nuclear code
nuclear deal,nuclear deal,0,0,nuclear deal
nuclear disarmament,nuclear disarmament,0,0,nuclear disarma
nuclear energy,nuclear energy,0,0,nuclear energi
nuclear missiles,nuclear missiles,0,0,nuclear missil
nuclear mission,nuclear mission,0,0,nuclear mission
nuclear plants,nuclear plants,0,0,nuclear plant
nuclear power,nuclear power,0,0,nuclear power
nuclear power plants,nuclear power plants,0,0,nuclear power plant
nuclear program,nuclear program,0,0,nuclear program
nuclear projects,nuclear projects,0,0,nuclear project
nuclear proliferation,nuclear proliferation,0,0,nuclear prolifer
nuclear reactor,nuclear reactor,0,0,nuclear reactor
nuclear reactors,nuclear reactors,0,0,nuclear reactor
nuclear stockpile,nuclear stockpile,0,0,nuclear stockpil
nuclear submarine,nuclear submarine,0,0,nuclear submarin
nuclear submarines,nuclear submarines,0,0,nuclear submarin
nuclear technology,nuclear technology,0,0,nuclear technolog
nuclear test,nuclear test,0,0,nuclear test
nuclear warhead,nuclear warhead,0,0,nuclear warhead
nuclear warheads,nuclear warheads,0,0,nuclear warhead
nuclear waste,nuclear waste,0,0,nuclear wast
nuclear weapon,nuclear weapon,0,0,nuclear weapon
nuclear weapons,nuclear weapons,0,0,nuclear weapon
nuclearpowered aircraft carriers,nuclear powered aircraft carriers,0,0,nuclear power aircraft carrier
obamacare,obamacare,0,0,obamacar
obamacare website,obamacare website,0,0,obamacar websit
offshore drilling,offshore drilling,0,0,offshor drill
offshore oil drilling,offshore oil drilling,0,0,offshor oil drill
offshore oil rig,offshore oil rig,0,0,offshor oil rig
offshore wind power,offshore wind power,0,0,offshor wind power
offshore windfarm,offshore windfarm,0,0,offshor windfarm
oil,oil,1,1,oil
oil and gas,oil and gas,0,0,oil and ga
oil and gas exploration,oil and gas exploration,0,0,oil and ga explor
oil and gas pipelines,oil and gas pipelines,0,0,oil and ga pipelin
oil and natural gas exploration,oil and natural gas exploration,0,0,oil and natur ga explor
oil drilling,oil drilling,0,0,oil drill
oil pipeline,oil pipeline,0,0,oil pipelin
oil rig,oil rig,0,0,oil rig
oil rigs,oil rigs,0,0,oil rig
oil sands extraction,oil sands extraction,0,0,oil sand extract
oil tankers,oil tankers,0,0,oil tanker
omicronspecific booster vaccines,omicron specific booster vaccines,0,0,omicron specif booster vaccin
oneway glass,one way glass,0,0,one way glass
online access,online access,0,0,onlin access
online bots,online bots,0,0,onlin bot
online change of address system,online change of address system,0,0,onlin chang of address system
online forprofit school,online for profit school,0,0,onlin for profit school
online game platform,online game platform,0,0,onlin game platform
online learning,online learning,0,0,onlin learn
online platforms,online platforms,1,0,onlin platform
online searches,online searches,0,0,onlin search
online tax filing,online tax filing,0,0,onlin tax file
online text generator,online text generator,0,0,onlin text gener
online voter registration,online voter registration,0,0,onlin voter registr
onlinedating app,online dating app,0,0,onlin date app
onlyfans,onlyfans,0,0,onlyfan
open captions,open captions,0,0,open caption
optech iii p voting machines,optech iii p voting machines,0,0,optech iii p vote machin
ordering kiosks,ordering kiosks,0,0,order kiosk
origami condoms,origami condoms,0,0,origami condom
ovarian transplant,ovarian transplant,0,0,ovarian transplant
overhead projector,overhead projector,0,0,overhead projector
oxygen concentrator,oxygen concentrator,0,0,oxygen concentr
pacemaker,pacemaker,0,0,pacemak
paintball guns,paintball guns,0,0,paintbal gun
palyh worm,palyh worm,0,0,palyh worm
panic buttons,panic buttons,0,0,panic button
paper ballots,paper ballots,0,0,paper ballot
paper shredders,paper shredders,0,0,paper shredder
paperless voting systems,paperless voting systems,0,0,paperless vote system
paraglider,paraglider,0,0,paraglid
paragliding,paragliding,0,0,paraglid
paramagnetic paint,paramagnetic paint,0,0,paramagnet paint
paramilitary equipment,paramilitary equipment,0,0,paramilitari equip
parler,parler,1,0,parler
particle physics,particle physics,0,0,particl physic
pay phone,pay phone,0,0,pay phone
payment system,payment system,0,0,payment system
pcr,pcr,1,0,pcr
pcr covid test,pcr covid test,0,0,pcr covid test
pcr covid19 tests,pcr covid 19 tests,0,0,pcr covid 19 test
pcr test,pcr test,0,0,pcr test
pcr tests,pcr tests,0,0,pcr test
pdf reader,pdf reader,0,0,pdf reader
pen,pen,1,0,pen
pentium chip,pentium chip,0,0,pentium chip
pepper balls,pepper balls,0,0,pepper ball
pepper spray,pepper spray,0,0,pepper spray
personal computer,personal computer,0,0,person comput
pesticide,pesticide,0,0,pesticid
pet scanner,pet scanner,1,0,pet scanner
pfas,pfas,1,0,pfa
pfizer vaccine,pfizer vaccine,0,0,pfizer vaccin
pharmacovigilance tracking system,pharmacovigilance tracking system,0,0,pharmacovigil track system
phishing,phishing,0,0,phish
phishing attack,phishing attack,0,0,phish attack
phone cameras,phone cameras,0,0,phone camera
phone charger,phone charger,0,0,phone charger
phone charging,phone charging,0,0,phone charg
phone lines,phone lines,0,0,phone line
phone screens,phone screens,0,0,phone screen
phone security,phone security,0,0,phone secur
phone service,phone service,0,0,phone servic
photo booth,photo booth,0,0,photo booth
photo editing,photo editing,0,0,photo edit
photo radar,photo radar,0,0,photo radar
photo syncing,photo syncing,0,0,photo sync
photocopier,photocopier,0,0,photocopi
photodynamic therapy,photodynamic therapy,0,0,photodynam therapi
photography,photography,0,0,photographi
photonics,photonics,0,0,photon
photoshop,photoshop,1,0,photoshop
photovoltaic manufacturing,photovoltaic manufacturing,0,0,photovolta manufactur
piano,piano,1,0,piano
pilot earpiece,pilot earpiece,0,0,pilot earpiec
pink dye,pink dye,0,0,pink dye
pipeline,pipeline,1,1,pipelin
pipelines,pipelines,1,1,pipelin
pizza saver,pizza saver,0,0,pizza saver
pizza vending machines,pizza vending machines,0,0,pizza vend machin
plan b,plan b,1,1,plan b
plan b pill,plan b pill,0,0,plan b pill
plastic,plastic,1,0,plastic
plastic bottles,plastic bottles,0,0,plastic bottl
plastic microbeads,plastic microbeads,0,0,plastic microbead
plastic recycling,plastic recycling,0,0,plastic recycl
plastics,plastics,1,0,plastic
plastics manufacturing,plastics manufacturing,0,0,plastic manufactur
platform,platform,1,1,platform
playstation,playstation,0,0,playstat
playstation 5,playstation 5,0,0,playstat 5
plugs,plugs,1,1,plug
podcasting,podcasting,0,0,podcast
pointtopoint cameras,point to point cameras,0,0,point to point camera
pokemon,pokemon,0,0,pokemon
pokemon go,pokemon go,0,0,pokemon go
polarized light,polarized light,0,0,polar light
police bodycam,police bodycam,0,0,polic bodycam
police car video,police car video,0,0,polic car video
police dash cam,police dash cam,0,0,polic dash cam
police radar,police radar,0,0,polic radar
police radar gun,police radar gun,0,0,polic radar gun
polio shots,polio shots,0,0,polio shot
polio vaccination,polio vaccination,0,0,polio vaccin
polio vaccine,polio vaccine,0,0,polio vaccin
polio vaccines,polio vaccines,0,0,polio vaccin
pollbooks,pollbooks,0,0,pollbook
polygraph tests,polygraph tests,0,0,polygraph test
polymer bank notes,polymer bank notes,0,0,polym bank note
polymer bills,polymer bills,0,0,polym bill
polymer drone flies,polymer drone flies,1,0,polym drone fli
pong,pong,1,0,pong
pop email service,pop email service,0,0,pop email servic
portable baby cage,portable baby cage,0,0,portabl babi cage
portable heater,portable heater,0,0,portabl heater
portable oxygen concentrator,portable oxygen concentrator,0,0,portabl oxygen concentr
portable power generators,portable power generators,0,0,portabl power gener
positive train control safety system,positive train control safety system,0,0,posit train control safeti system
powdered alcohol,powdered alcohol,0,0,powder alcohol
power,power,1,1,power
power drill,power drill,0,0,power drill
power generation,power generation,0,0,power gener
power line,power line,0,0,power line
power lines,power lines,0,0,power line
power screwdriver,power screwdriver,0,0,power screwdriv
power transmission lines,power transmission lines,0,0,power transmiss line
powerpoint,powerpoint,1,0,powerpoint
powersave,powersave,0,0,powersav
ppe,ppe,1,0,ppe
precise location feature,precise location feature,0,0,precis locat featur
pregnancy detection technology,pregnancy detection technology,0,0,pregnanc detect technolog
pregnancy robot,pregnancy robot,0,0,pregnanc robot
pregnancy test,pregnancy test,0,0,pregnanc test
pregnancy tests,pregnancy tests,0,0,pregnanc test
prepaid debit cards,prepaid debit cards,0,0,prepaid debit card
prerecorded calls,prerecorded calls,0,0,prerecord call
prescription drug monitoring programs,prescription drug monitoring programs,0,0,prescript drug monitor program
presidential alert system,presidential alert system,0,0,presidenti alert system
pressurized garden hose,pressurized garden hose,0,0,pressur garden hose
printer,printer,1,0,printer
printer toner cartridge,printer toner cartridge,0,0,printer toner cartridg
printnightmare,print nightmare,0,0,print nightmar
privacysaving technology,privacy saving technology,0,0,privaci save technolog
private airplane,private airplane,0,0,privat airplan
private email server,private email server,0,0,privat email server
private jet,private jet,0,0,privat jet
pro power saver,pro power saver,1,0,pro power saver
propane tank,propane tank,0,0,propan tank
prosthetic leg,prosthetic leg,0,0,prosthet leg
protease inhibitors,protease inhibitors,0,0,proteas inhibitor
protective gear,protective gear,0,0,protect gear
protective medical gear,protective medical gear,0,0,protect medic gear
prototype cars,prototype cars,0,0,prototyp car
ps5,ps5,0,0,ps5
psychographics,psychographics,0,0,psychograph
puberty blockers,puberty blockers,0,0,puberti blocker
pyrotechnics,pyrotechnics,0,0,pyrotechn
qr code,qr code,0,0,qr code
qr codes,qr codes,0,0,qr code
quantum ai,quantum ai,0,0,quantum ai
quantum blockchain,quantum blockchain,0,0,quantum blockchain
quantum blockchain system,quantum blockchain system,0,0,quantum blockchain system
quantum stealth material,quantum stealth material,0,0,quantum stealth materi
quicktime,quicktime,1,0,quicktim
radar altimeters,radar altimeters,0,0,radar altimet
radar gun,radar gun,0,0,radar gun
radiators,radiators,0,0,radiat
radio,radio,1,1,radio
radio frequency identification,radio frequency identification,0,0,radio frequenc identif
radio telescope,radio telescope,0,0,radio telescop
radio waves,radio waves,0,0,radio wave
radiocarbon dating,radiocarbon dating,0,0,radiocarbon date
radiofrequency identification,radio frequency identification,0,0,radio frequenc identif
rail,rail,1,0,rail
rail link,rail link,0,0,rail link
rail system,rail system,0,0,rail system
railroad,railroad,0,0,railroad
railroad gauge,railroad gauge,0,0,railroad gaug
rainwater harvesting,rainwater harvesting,0,0,rainwat harvest
ramnit worm,ramnit worm,0,0,ramnit worm
ransomware,ransomware,0,0,ransomwar
rape kit,rape kit,0,0,rape kit
rare earth minerals,rare earth minerals,0,0,rare earth miner
rbst,rbst,1,0,rbst
rear 5th wheel,rear 5th wheel,0,0,rear 5th wheel
recording technology,recording technology,0,0,record technolog
recyclable materials,recyclable materials,0,0,recycl materi
recycling technology,recycling technology,0,0,recycl technolog
red light camera,red light camera,0,0,red light camera
red light cameras,red light cameras,0,0,red light camera
redlight cameras,redlight cameras,0,0,redlight camera
reed diffuser,reed diffuser,0,0,reed diffus
reeezak worm,reeezak worm,1,0,reeezak worm
refinery,refinery,0,0,refineri
refrigeration units,refrigeration units,0,0,refriger unit
refrigerators,refrigerators,0,0,refriger
remdesivir,remdesivir,0,0,remdesivir
remote control crocodile,remote control crocodile,0,0,remot control crocodil
remote keyless entry,remote keyless entry,0,0,remot keyless entri
remote keyless entry systems,remote keyless entry systems,0,0,remot keyless entri system
renewable energy,renewable energy,0,0,renew energi
renewable materials,renewable materials,0,0,renew materi
renewables,renewables,0,0,renew
reproductive health apps,reproductive health apps,0,0,reproduct health app
respirators,respirators,1,0,respir
reverse image search,reverse image search,0,0,revers imag search
rfid,rfid,0,0,rfid
rfid chip,rfid chip,0,0,rfid chip
rfid chip technology,rfid chip technology,0,0,rfid chip technolog
rfid chips,rfid chips,0,0,rfid chip
rfid microchips,rfid microchips,0,0,rfid microchip
rfidenabled credit cards,rfid enabled credit cards,0,0,rfid enabl credit card
ridesharing,ride sharing,0,0,ride share
rife machine,rife machine,0,0,rife machin
rifle,rifle,1,0,rifl
ring doorbells,ring doorbells,0,0,ring doorbel
ritalin,ritalin,0,0,ritalin
rna,rna,1,0,rna
rnc email system,rnc email system,0,0,rnc email system
roblox app,roblox app,0,0,roblox app
robocall,robocall,0,0,robocal
robocalls,robocalls,0,0,robocal
robot,robot,1,0,robot
robot delivery,robot delivery,0,0,robot deliveri
robot dogs,robot dogs,0,0,robot dog
robotic arms,robotic arms,0,0,robot arm
robotic bear,robotic bear,0,0,robot bear
robotic claws,robotic claws,0,0,robot claw
robotic dogs,robotic dogs,0,0,robot dog
robotic wolves,robotic wolves,0,0,robot wolv
robotics,robotics,0,0,robot
robots,robots,1,0,robot
rocket,rocket,1,1,rocket
rocket design,rocket design,0,0,rocket design
rocket launch,rocket launch,0,0,rocket launch
rocketpropelled grenade,rocket propelled grenade,0,0,rocket propel grenad
rockets,rockets,1,1,rocket
rohypnol,rohypnol,0,0,rohypnol
roku player,roku player,0,0,roku player
rooftop solar,rooftop solar,0,0,rooftop solar
rotary telephone,rotary telephone,0,0,rotari telephon
roundup,roundup,1,0,roundup
roundup herbicide,roundup herbicide,0,0,roundup herbicid
routers,routers,1,1,router
rpg,rpg,1,0,rpg
rsv drug,rsv drug,0,0,rsv drug
rural broadband,rural broadband,0,0,rural broadband
samsung galaxy note 7,samsung galaxy note 7,0,0,samsung galaxi note 7
sat,sat,1,0,sat
satan 2 nuclear weapon,satan 2 nuclear weapon,0,0,satan 2 nuclear weapon
satellite,satellite,1,0,satellit
satellite cameras,satellite cameras,0,0,satellit camera
satellite communications,satellite communications,0,0,satellit commun
satellite data,satellite data,0,0,satellit data
satellite imagery,satellite imagery,0,0,satellit imageri
satellite images,satellite images,0,0,satellit imag
satellite map,satellite map,0,0,satellit map
satellite maps,satellite maps,0,0,satellit map
satellite observation,satellite observation,0,0,satellit observ
satellite phones,satellite phones,0,0,satellit phone
satellites,satellites,1,0,satellit
save database,save database,0,0,save databas
scannable digital implants,scannable digital implants,0,0,scannabl digit implant
scanner,scanner,1,1,scanner
scanning devices,scanning devices,0,0,scan devic
scanning electron microscope,scanning electron microscope,0,0,scan electron microscop
scantron,scantron,0,0,scantron
school computer program,school computer program,0,0,school comput program
school scheduling app,school scheduling app,0,0,school schedul app
school shooting panic button app,school shooting panic button app,0,0,school shoot panic button app
scorecard,scorecard,0,0,scorecard
screensaver,screensaver,0,0,screensav
scuba mask,scuba mask,0,0,scuba mask
scuba tank,scuba tank,0,0,scuba tank
search algorithms,search algorithms,0,0,search algorithm
search engine,search engine,0,0,search engin
search engines,search engines,0,0,search engin
search predictions,search predictions,0,0,search predict
searchable tool,searchable tool,0,0,searchabl tool
seat belt,seat belt,0,0,seat belt
seat belts,seat belts,0,0,seat belt
security camera,security camera,0,0,secur camera
security cameras,security cameras,0,0,secur camera
security footage,security footage,0,0,secur footag
segway,segway,1,0,segway
seismic airgun blasting,seismic airgun blasting,0,0,seismic airgun blast
seismograph,seismograph,0,0,seismograph
selfdriving bicycle,self driving bicycle,0,0,self drive bicycl
selfdriving mode,self driving mode,0,0,self drive mode
selfie stick,selfie stick,0,0,selfi stick
selfpropelled artillery,self propelled artillery,0,0,self propel artilleri
selfrepossessing cars,self repossessing cars,0,0,self repossess car
selfserve kiosks,self serve kiosks,0,0,self serv kiosk
selfservice kiosks,self service kiosks,0,0,self servic kiosk
semiautomatic rifles,semi automatic rifles,0,0,semi automat rifl
semiautomatic weapons,semi automatic weapons,0,0,semi automat weapon
semiconductors,semiconductors,0,0,semiconductor
semitrucks,semitrucks,0,0,semitruck
sensor,sensor,1,0,sensor
serums,serums,1,0,serum
server,server,1,1,server
server management,server management,0,0,server manag
servers,servers,1,1,server
sewage systems,sewage systems,0,0,sewag system
sewers,sewers,1,1,sewer
sewing machine,sewing machine,0,0,sew machin
sex robot,sex robot,0,0,sex robot
sex robots,sex robots,0,0,sex robot
shale,shale,1,0,shale
shopping cart,shopping cart,0,0,shop cart
shortrange airtoair missile,short range air to air missile,0,0,short rang air to air missil
signature verification systems,signature verification systems,0,0,signatur verif system
silencer,silencer,1,1,silenc
silicone,silicone,0,0,silicon
silicone oil,silicone oil,0,0,silicon oil
silver solution,silver solution,1,0,silver solut
sim card,sim card,0,0,sim card
sim swap,sim swap,0,0,sim swap
simparica trio,simparica trio,0,0,simparica trio
simulation,simulation,1,0,simul
siri,siri,1,0,siri
slot machines,slot machines,0,0,slot machin
small cell technology,small cell technology,0,0,small cell technolog
smallpox vaccination,smallpox vaccination,0,0,smallpox vaccin
smallpox vaccine,smallpox vaccine,0,0,smallpox vaccin
smallpox vaccines,smallpox vaccines,0,0,smallpox vaccin
smart car,smart car,0,0,smart car
smart cities,smart cities,0,0,smart citi
smart city,smart city,0,0,smart citi
smart contact lenses,smart contact lenses,0,0,smart contact lens
smart dust,smart dust,0,0,smart dust
smart engagement rings,smart engagement rings,0,0,smart engag ring
smart guns,smart guns,0,0,smart gun
smart island,smart island,1,0,smart island
smart plugs,smart plugs,0,0,smart plug
smart speakers,smart speakers,0,0,smart speaker
smart trip checkin,smart trip checkin,0,0,smart trip checkin
smart tvs,smart tvs,0,0,smart tv
smartcity,smart city,0,0,smart citi
smartphone,smartphone,0,0,smartphon
smartphone app,smartphone app,0,0,smartphon app
smartphone batteries,smartphone batteries,0,0,smartphon batteri
smartphone gun,smartphone gun,0,0,smartphon gun
smartphones,smartphones,0,0,smartphon
smartwatch,smartwatch,0,0,smartwatch
smoke detectors,smoke detectors,0,0,smoke detector
sms,sms,1,0,sm
snap map,snap map,0,0,snap map
snapchat,snapchat,0,0,snapchat
snapchat crying filter,snapchat crying filter,0,0,snapchat cri filter
snipergun mounted drones,sniper gun mounted drones,0,0,sniper gun mount drone
snow plows,snow plows,0,0,snow plow
snow white worm,snow white worm,1,0,snow white worm
sober k computer virus,sober k computer virus,0,0,sober k comput viru
soberc virus,soberc virus,1,0,soberc viru
sobern computer virus,sobern computer virus,0,0,sobern comput viru
soberx virus,soberx virus,0,0,soberx viru
sobigf worm,sobigf worm,0,0,sobigf worm
social media,social media,0,0,social media
social media algorithms,social media algorithms,0,0,social media algorithm
social networking,social networking,0,0,social network
sodium cyanide m44s,sodium cyanide m44s,0,0,sodium cyanid m44
software,software,1,0,softwar
software updates,software updates,0,0,softwar updat
solar,solar,1,0,solar
solar energy,solar energy,0,0,solar energi
solar farm,solar farm,0,0,solar farm
solar panel,solar panel,0,0,solar panel
solar panels,solar panels,0,0,solar panel
solar parking meters,solar parking meters,0,0,solar park meter
solar plant,solar plant,0,0,solar plant
solar power,solar power,0,0,solar power
solar system,solar system,0,0,solar system
solarheated water tank,solar heated water tank,0,0,solar heat water tank
solarwinds orion software,solarwinds orion software,0,0,solarwind orion softwar
sonic weapons,sonic weapons,0,0,sonic weapon
sonogram,sonogram,0,0,sonogram
sony psp,sony psp,0,0,soni psp
sos distress signal,sos distress signal,0,0,so distress signal
sound recording technology,sound recording technology,0,0,sound record technolog
soybean plastic,soybean plastic,0,0,soybean plastic
soyuz rocket,soyuz rocket,0,0,soyuz rocket
space exploration,space exploration,0,0,space explor
space force,space force,0,0,space forc
space hotel,space hotel,0,0,space hotel
space invaders,space invaders,0,0,space invad
space rockets,space rockets,0,0,space rocket
space shuttle,space shuttle,0,0,space shuttl
space shuttle fuel tank,space shuttle fuel tank,0,0,space shuttl fuel tank
space shuttles,space shuttles,0,0,space shuttl
space station,space station,0,0,space station
space suits,space suits,0,0,space suit
space technology,space technology,0,0,space technolog
space telescope,space telescope,0,0,space telescop
space travel,space travel,0,0,space travel
spacebased laser generating system,space based laser generating system,0,0,space base laser gener system
spacecraft,spacecraft,0,0,spacecraft
spaceflight,spaceflight,0,0,spaceflight
spaceshuttle,space shuttle,0,0,space shuttl
spacex falcon heavy rocket boosters,spacex falcon heavy rocket boosters,0,0,spacex falcon heavi rocket booster
spacex starship rocket,spacex starship rocket,0,0,spacex starship rocket
